Season Number,Startup Name,Episode Number,Industry,Company Website,Started in,Number of Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Gross Margin in %,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Offered Equity,Received Offer,deal outcome,equity given (%),Total Deal Debt(in lakhs),Debt Interest,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,original ask amount in Cr.,valuation requested in Cr.,Total deal amount in Cr.,Deal valuation in Cr.,Deal status,Yearly revenue in Cr.,Monthy sales in Cr.,Revenue Type,Male Presenters,Female Presenters,Transgender Presenters
1,Inacan,20,Food,https://inacan.in/,2020,3,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,10,0,0,5,No,No,0,0.5,25,1,10,deal made,,0.23,Monthly Only,3,0,0
1,Thequirkynaari,21,Beauty/Fashion,https://thequirkynaari.com/,2018,1,0,Young,Mathura,Uttar Pradesh,,,No,,No,funded,No,5,1,Accepted,24,0,0,2,No,No,0,0.35,7,0.35,1.46,deal made,,0.03,Monthly Only,0,1,0
1,Nuskhakitchen,24,Food,https://nuskhakitchen.com/,2019,2,0,Middle,Jaipur,Rajasthan,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.2,2,0,0,no deal,,0.0145,Monthly Only,1,1,0
1,Isakfragrances,26,Beauty/Fashion,https://isakfragrances.com/,2016,1,0,Young,Lucknow,Uttar Pradesh,,,No,,No,funded,No,8,1,Accepted,50,0,0,1,yes,No,0,0.5,6.25,0.5,1,deal made,,0.035,Monthly Only,0,1,0
1,Watttechnovations,27,Medical/Health,https://www.watttechnovations.com/,2020,1,0,Young,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,4,0,0,4,No,No,0,0.0000101,0,0.0000101,0,deal made,,,No Data,1,0,0
1,Sippline,30,Manufacturing,https://www.sippline.com/,2019,1,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,15,0,No Offer,0,0,0,0,No,No,0,0.75,5,0,0,no deal,,,No Data,1,0,0
1,Ayurythm,31,Medical/Health,https://www.ayurythm.com/home/,2016,3,0,Middle,Bangalore,Karnataka,,,No,,No,funded,No,2,1,Accepted,2.68,0,0,1,No,No,0,0.75,37.5,0.75,27.99,deal made,,,No Data,3,0,0
1,C3Med-Tech,32,Medical/Health,https://c3prototypes.com/,2019,2,1,Middle,Ahmedabad,Gujarat,,,No,,No,funded,No,6,1,Rejected,0,0,0,0,No,No,0,0.35,5.83,0,0,no deal,,,No Data,1,1,0
1,Colourmemad-Cmm,33,Beauty/Fashion,https://yourfootdoctor.in/,2017,2,1,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,10,1,Accepted,25,0,0,1,No,No,0,0.4,4,0.4,1.6,deal made,,0.0066,Monthly Only,1,1,0
1,Mavi'S,33,Food,https://mavispantry.com/,2018,2,1,Middle,Thane,Maharashtra,,,No,,No,funded,No,5,0,No Offer,0,0,0,0,No,No,0,0.4,8,0,0,no deal,,0.02,Monthly Only,1,1,0
